Alelo	D8S1179	D21S11	D7S820	CSF1PO	D3S1358	THO1	D13S317	D16S539	D2S1338	D19S433	VWA	TPOX	D18S51	D5S818	FGA	PENTA E	PENTA D	D12S391	D1S1656	D6S1043	D10S1248	D22S1045	D2S441	SE33	Alelo
2.2																	0.00358								2.2
3.2																	0.00011								3.2
4						0.00023																			4
4.2																									4.2
5						0.00064		0.00005				0.00016				0.03717	0.00146								5
6			0.00011	0.00040		0.29564	0.00055					0.00261				0.00051	0.00039								6
7			0.01408	0.00167		0.26031	0.00027	0.00011				0.00142		0.0693		0.09435	0.01014								7
8	0.00898		0.10337	0.00448		0.08001	0.00117	0.01758				0.48349		0.00635		0.00785	0.01366								8
8.3				0.00006																					8.3
9	0.00762		0.0882	0.02185		0.12342	0.16994	0.16177		0.00289		0.0779	0.00038	0.0421		0.06695	0.19036			0.00100			0.00570		9
9.1			0.00005																						9.1
9.2																	0.00056								9.2
9.3						0.23091																			9.3
10	0.06872		0.26243	0.26929	0.00005	0.00808	0.08562	0.10915				0.04761	0.00728	0.05326		0.00017	0.20671		0.00634	0.00540		0.00430	0.19800		10
10.2													0.00011												10.2
10.3				0.00006																					10.3
11	0.07247		0.30968	0.28222	0.00055	0.00070	0.25469	0.27673		0.02601	0.00098	0.28963	0.01144	0.42216		0.0878	0.16045		0.05128	0.21650	0.00570	0.13580	0.33820		11
11.2										0.00289															11.2
11.3																							0.05060		11.3
12	0.14353		0.1863	0.34753	0.00186		0.26182	0.27623		0.06936	0.00082	0.09435	0.12708	0.27108		0.1822	0.17008		0.08108	0.23010	0.03470	0.00580	0.04050		12
12.1			0.00005																						12.1
12.2			0.00005							0.02312															12.2
12.3			0.00005																				0.00290		12.3
13	0.30446		0.03094	0.06209	0.00399		0.12787	0.1379		0.19942	0.00414	0.00256	0.11537	0.12503		0.09463	0.16840		0.09286	0.10600	0.29050	0.01010	0.03180	0.00870	13
13.2										0.09249			0.00011			0.00011									13.2
13.3						0.00006																			13.3
14	0.22236		0.00462	0.00868	0.07485		0.09606	0.01917	0.005682	0.28613	0.06419	0.00012	0.20496	0.00843		0.09299	0.05410	0.00034	0.14241	0.06430	0.29770	0.03470	0.28320	0.03760	14
14.2										0.05780			0.00016											0.00700	14.2
14.3																			0.00450						14.3
15	0.13732		0.00007	0.00167	0.35112		0.00196	0.00131		0.13873	0.0943		0.14191	0.00208		0.09814	0.01512	0.05128	0.16805	0.03890	0.19650	0.36560	0.04480	0.03610	15
15.2										0.05491			0.00005												15.2
15.3																			0.04019						15.3
16	0.03047				0.27983		0.00005		0.059659	0.03468	0.30923	0.00005	0.12002	0.00021	0.00038	0.05927	0.00364	0.04608	0.15454	0.00820	0.13440	0.36270	0.00430	0.05200	16
16.2										0.01156			0.00005												16.2
16.3																0.0009			0.06168						16.3
16.4																0.00006									16.4
17	0.00337				0.16096				0.232955		0.28278		0.12407		0.00223	0.05322	0.00090	0.11331	0.04435	0.05160	0.03760	0.07510		0.06500	17
17.1																		0.00139							17.1
17.3																		0.00105	0.10281						17.3
18	0.00065				0.11706				0.071023		0.16705		0.06715		0.01084	0.03859	0.00017	0.21275	0.00624	0.09780	0.00290	0.00590		0.08240	18
18.1																		0.00035		0.00090					18.1
18.2															0.00038										18.2
18.3																		0.01178	0.03569	0.00090					18.3
19	0.00005	0.00005			0.00891				0.15625		0.06425		0.03639		0.08764	0.02616	0.00017	0.15523	0.00035	0.08790				0.08090	19
19.1																		0.00243							19.1
19.2															0.00016										19.2
19.3																		0.00485	0.00728	0.00180					19.3
20					0.00071				0.127841		0.01123		0.01954		0.09248	0.02537		0.13513		0.05250				0.04910	20
20.1																		0.00069							20.1
20.2															0.00022									0.00870	20.2
20.3																		0.00035	0.00035	0.00180					20.3
21					0.00011				0.025568		0.00093	0.00005	0.01144		0.14417	0.02107		0.10256		0.01090				0.02020	21
21.2												0.00005			0.00202									0.01160	21.2
21.3																				0.01000					21.3
22									0.056818		0.00005		0.00859		0.12609	0.00757		0.06895		0.00180					22
22.2													0.00005		0.00398			0.00035						0.03320	22.2
22.3															0.00005					0.00450					22.3
23									0.139205		0.00005		0.00235		0.1213	0.00345		0.04920		0.00360					23
23.2															0.00245									0.02600	23.2
23.3																				0.00090					23.3
24		0.00005							0.053977				0.00104		0.15153	0.00113		0.02495		0.00270					24
24.2		0.00087													0.00071			0.00035						0.04480	24.2
24.3																									24.3
25		0.00033							0.051136				0.00016		0.15044	0.00028		0.01143							25
25.2		0.00054													0.00005									0.03900	25.2
25.3															0.00005										25.3
26		0.00158							0.017045				0.00005		0.07375	0.00006		0.00312							26
26.2		0.00016													0.00005									0.04190	26.2
27		0.01638							0.002841				0.00025		0.02200			0.00208							27
27.2		0.00011																						0.07080	27.2
28		0.09375													0.00599										28
28.2		0.00076																						0.07800	28.2
29		0.19643													0.00054										29
29.2		0.00207																						0.07800	29.2
30		0.27228													0.00016										30
30.2		0.02536																						0.04910	30.2
31		0.06209													0.00034										31
31.2		0.11312																						0.02890	31.2
32		0.00920																							32
32.1		0.00016																							32.1
32.2		0.13843																						0.01590	32.2
33		0.00212																						0.03510	33
33.1		0.00011																							33.1
33.2		0.05430																							33.2
33.3		0.00011																							33.3
34		0.00044																							34
34.2		0.00637																							34.2
35		0.00132																							35
35.1		0.00027																							35.1
35.2		0.00087																							35.2
36		0.00027																							36
36.2		0.00005																							36.2
37		0.00005																							37
